line,games,fave_win,fave_win_per
46,1,1,100
42,3,3,100
40.5,2,2,100
39,2,2,100
38.5,3,3,100
38,8,8,100
37.5,1,1,100
37,3,3,100
36.5,6,6,100
36,3,3,100
35.5,5,5,100
35,8,8,100
34.5,8,8,100
34,6,6,100
33.5,9,9,100
33,15,15,100
32.5,11,11,100
32,13,13,100
31.5,20,20,100
31,15,15,100
30.5,24,24,100
30,34,34,100
29.5,24,24,100
29,36,36,100
28.5,31,31,100
28,38,38,100
27.5,43,43,100
27,55,55,100
26.5,55,55,100
26,81,81,100
25.5,64,62,97
25,68,68,100
24.5,93,91,98
24,113,113,100
23.5,101,100,99
23,133,133,100
22.5,118,116,98
22,171,168,98
21.5,139,137,99
21,199,196,98
20.5,163,156,96
20,236,231,98
19.5,196,195,99
19,257,252,98
18.5,278,266,96
18,345,336,97
17.5,323,315,98
17,422,406,96
16.5,411,393,96
16,482,465,96
15.5,494,468,95
15,588,562,96
14.5,646,605,94
14,737,681,92
13.5,717,656,91
13,906,814,90
12.5,859,752,88
12,923,808,88
11.5,933,830,89
11,1060,924,87
10.5,1077,923,86
10,1254,1054,84
9.5,1258,1154,92
9,1442,1176,82
8.5,1500,1211,81
8,1697,1347,79
7.5,1755,1359,77
7,1828,1384,76
6.5,1882,1374,73
6,1991,1414,71
5.5,2016,1399,69
5,2200,1509,69
4.5,2158,1438,67
4,2304,1449,63
3.5,2360,1477,63
3,2498,1506,60
2.5,2511,1478,59
2,2559,1414,55
1.5,1943,1034,53
1,2120,1076,51
0.5,12,6,50
0,895,,
